,no rank,superkingdom,order,family,genus,species,phylum,class,clade,strain,isolate,subphylum
647113,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanothermococcus,Methanothermococcus okinawensis,Euryarchaeota,Methanococci,Methanomada group,Methanothermococcus okinawensis IH1,,
453591,cellular organisms,Archaea,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus hospitalis,Crenarchaeota,Thermoprotei,TACK group,Ignicoccus hospitalis KIN4/I,,
163003,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus cleftensis,Euryarchaeota,Thermococci,,,,
572478,cellular organisms,Archaea,Thermoproteales,Thermoproteaceae,Vulcanisaeta,Vulcanisaeta distributa,Crenarchaeota,Thermoprotei,TACK group,Vulcanisaeta distributa DSM 14429,,
1434111,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina lacustris,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina lacustris Z-7289,,
604354,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sibiricus,Euryarchaeota,Thermococci,,Thermococcus sibiricus MM 739,,
999630,cellular organisms,Archaea,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,Crenarchaeota,Thermoprotei,TACK group,Thermoproteus uzoniensis 768-20,,
593117,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus gammatolerans,Euryarchaeota,Thermococci,,Thermococcus gammatolerans EJ3,,
187880,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus radiotolerans,Euryarchaeota,Thermococci,,,,
195522,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus nautili,Euryarchaeota,Thermococci,,,,
1056495,cellular organisms,Archaea,Acidilobales,Caldisphaeraceae,Caldisphaera,Caldisphaera lagunensis,Crenarchaeota,Thermoprotei,TACK group,Caldisphaera lagunensis DSM 15908,,
224719,unclassified Methanobrevibacter,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp. AbM4,Euryarchaeota,Methanobacteria,Methanomada group,,,
358396,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Halobiforma,Halobiforma lacisalsi,Euryarchaeota,Halobacteria,Stenosarchaea group,Halobiforma lacisalsi AJ5,,
1198449,cellular organisms,Archaea,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum camini,Crenarchaeota,Thermoprotei,TACK group,Aeropyrum camini SY1 = JCM 12091,,
230361,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter millerae,Euryarchaeota,Methanobacteria,Methanomada group,,,
666510,cellular organisms,Archaea,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus saccharovorans,Crenarchaeota,Thermoprotei,TACK group,Acidilobus saccharovorans 345-15,,
