,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,branch_length
1662,1.0,1.8,1.8,3356444.6,46.914716797100006,0.48995493802160006,5,145.4,0.0314323
1663,1.0,2.0,2.0,3318092.1428571427,48.37091910585714,0.49353086682171426,7,144.85714285714286,0.0928921
1669,2.0,2.0,2.0,3026762.0,52.5219866664,0.5396049211539999,2,143.0,0.0398656
1671,2.0,1.6666666666666667,1.6666666666666667,3044189.3333333335,51.527651204566666,0.5169790820416666,3,140.66666666666666,0.0412424
1674,2.5,1.0,1.0,2803720.5,44.07266138105,0.4881394147735,2,141.5,0.0266455
1675,2.2,1.4,1.4,2948001.8,48.54565527516,0.5054432151343999,5,141.0,0.0223804
1676,2.1666666666666665,1.3333333333333333,1.3333333333333333,2749166.1666666665,47.87436460156666,0.5099689427738333,6,137.16666666666666,0.029082
1677,2.0,1.2857142857142858,1.2857142857142858,2550203.5714285714,46.315919645114285,0.5123403457307143,7,132.0,0.0838234
1678,2.0,1.375,1.375,2633579.75,47.578272128162496,0.5137121915405,8,131.0,0.0515738
1679,1.5333333333333334,1.6666666666666667,1.6666666666666667,2953018.8666666667,47.94817405108667,0.5042942400050666,15,137.46666666666667,0.0170281
1682,2.5,1.0,1.0,3083063.5,55.148283071899996,0.503130675363,2,145.0,0.0545593
1684,2.3333333333333335,1.0,1.0,3322925.0,57.85465958226666,0.5009043620573334,3,144.33333333333334,0.019084
1689,4.5,1.5,1.5,5537892.5,65.3211318491,0.5216682135245,2,183.5,0.022306
1690,4.333333333333333,2.0,2.0,5267680.0,64.19853007889999,0.5319682987113333,3,191.33333333333334,0.0341094
1691,4.25,1.75,1.75,5044770.0,65.128009953025,0.52709292827775,4,200.75,0.0374507
1693,4.2,1.8,1.8,4950733.2,65.17002098992,0.5242783295662,5,198.4,0.127908
1696,3.0,2.5,2.5,4903618.5,60.33292178880001,0.5138645750445,2,171.5,0.0538946
1698,2.6666666666666665,2.0,2.0,4538072.333333333,62.0111613565,0.5151740019816667,3,159.33333333333334,0.0342784
1699,3.625,1.875,1.875,4795985.375,63.9854486273875,0.5208642067220001,8,183.75,0.0257275
1700,3.272727272727273,1.6363636363636365,1.6363636363636365,4394241.636363637,62.313415251445456,0.5154206127225455,11,173.0,0.0343962
1701,2.269230769230769,1.6538461538461537,1.6538461538461537,3562766.9615384615,54.02577609739231,0.5090015515393845,26,152.5,0.0323431
1707,2.5,1.0,1.0,4976328.0,70.07141246785,0.5044642835855,2,214.5,0.0334018
1710,2.0,1.5,1.5,5559893.0,67.55051489685,0.5155552022735,2,189.5,0.0128001
1711,2.25,1.25,1.25,5268110.5,68.81096368234999,0.5100097429295001,4,202.0,0.0244239
1712,3.0,1.2,1.2,5248320.6,67.68601323724,0.5074386397238001,5,194.4,0.0188431
1715,2.0,1.0,1.0,3497988.0,66.79464445405,0.47150452532599996,2,141.0,0.0243834
1720,2.0,2.0,2.0,6951756.5,67.20490441645,0.45328887201449997,2,205.0,0.00639298
1721,2.0,1.6666666666666667,1.6666666666666667,6817856.333333333,66.96317684433333,0.4549117832783333,3,214.33333333333334,0.0240585
1724,1.5,6.0,6.0,5632409.5,58.64881727785,0.46310080527499997,2,223.0,0.0478788
1725,1.8,3.4,3.4,6343677.6,63.63743301774,0.458187392077,5,217.8,0.01902
1726,1.8333333333333333,3.0,3.0,5777863.833333333,61.91777327561666,0.4594999386231666,6,207.5,0.00894973
1729,2.0,1.5,1.5,2598624.5,65.31137508905,0.47016120133500006,2,138.0,0.0955203
1731,2.0,1.3333333333333333,1.3333333333333333,2729696.3333333335,63.2372351566,0.48139549089100003,3,128.66666666666666,0.0221681
1733,2.0,1.5,1.5,3289718.25,61.714145879525,0.47444275162575,4,149.25,0.0169279
1734,1.9,2.4,2.4,4782605.6,61.83632231718,0.46547706382419995,10,184.2,0.0228016
1738,6.0,1.0,1.0,5718173.5,61.65563291815,0.48056616275600006,2,181.5,0.0682808
1741,5.0,1.0,1.0,6726678.0,66.5971055805,0.511373117632,2,221.5,0.048181
1742,5.5,1.0,1.0,6222425.75,64.126369249325,0.495969640194,4,201.5,0.0536157
1744,5.0,1.4,1.4,5894971.4,64.16524281766,0.49273864752880003,5,201.0,0.025039
1745,4.666666666666667,1.6666666666666667,1.6666666666666667,5718428.333333333,64.08290969473333,0.48933219666933336,6,199.5,0.0372255
1748,3.0,1.0,1.0,5417471.0,68.67665934499999,0.4839845993165,2,222.0,0.0123265
1749,4.25,1.5,1.5,5643189.0,65.2313471073,0.487995297331125,8,205.125,0.0219801
1752,3.0,1.5,1.5,5397439.0,63.4308854582,0.48538582468150004,2,206.5,0.00760804
1753,4.0,1.5,1.5,5594039.0,64.87125477748,0.4874734028012,10,205.4,0.0541768
1754,2.95,1.95,1.95,5188322.3,63.35378854733,0.4764752333126999,20,194.8,0.0209663
1755,2.8636363636363638,1.8636363636363635,1.8636363636363635,5034655.545454546,63.66659362975909,0.4760233507684545,22,189.9090909090909,0.07849
1756,2.888888888888889,1.7407407407407407,1.7407407407407407,5074223.148148148,64.41093059410738,0.4818409968712964,27,190.74074074074073,0.0355038
1757,2.8214285714285716,1.7857142857142858,1.7857142857142858,5016647.142857143,64.31867985447141,0.4824484806791429,28,189.75,0.0531573
1758,2.7586206896551726,1.7586206896551724,1.7586206896551724,4956643.75862069,64.38683812879309,0.48425610608375874,29,187.44827586206895,0.0408351
1761,2.0,1.0,1.0,3767279.0,54.2645546085,0.5016437124794999,2,186.0,0.0165679
1764,5.0,1.0,1.0,6155208.5,62.43726100330001,0.5041488191160001,2,188.0,0.0304623
1765,3.5,1.0,1.0,4961243.75,58.35090780590001,0.5028962657977499,4,187.0,0.0244747
1768,3.0,1.5,1.5,5415935.0,56.449452584199996,0.4711530256775,2,215.5,0.0345307
1769,3.3333333333333335,1.1666666666666667,1.1666666666666667,5112807.5,57.71708939866667,0.49231518575766664,6,196.5,0.026229
1774,3.0,1.0,1.0,5511805.0,63.40249622315,0.4911191161945,2,248.0,0.0215427
1775,2.3333333333333335,1.3333333333333333,1.3333333333333333,3829489.0,50.29645793433334,0.613879746636,3,175.66666666666666,0.0100375
1776,2.25,1.25,1.25,4113485.25,52.911391867875,0.58405794696225,4,178.75,0.0100607
1777,2.9,1.2,1.2,4713078.6,55.79481038635,0.5290122902395,10,189.4,0.087967
1782,3.5,1.0,1.0,5888518.0,62.85260633645,0.5060978680915,2,199.5,0.0047525
1784,3.6666666666666665,1.0,1.0,5735444.666666667,63.4754658739,0.509384026021,3,195.0,1.13079e-06
1787,4.0,3.0,3.0,6150038.0,62.044942622700006,0.5123537444790001,2,201.0,0.00947409
1790,4.0,2.5,2.5,5774639.0,62.04625931419999,0.512664813115,2,211.5,0.0018678
1791,4.0,2.75,2.75,5962338.5,62.04560096845,0.512509278797,4,206.25,0.00598928
