"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","phylum","phylum_","phylum__","class","class_","order","order_","order__","family","family_","genus","species","species_"
"1911573","1644056","genus","Haloprofundus","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","1911573","",""
"2572921","1911573","species","Haloprofundus sp. MHR1","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","1911573","2572921",""
"2251","1644056","genus","Haloferax","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","2251","",""
"2246","2251","species","Haloferax volcanii","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","2251","2246",""
"309800","2246","species_","Haloferax volcanii DS2","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","2251","2246","309800"
"2252","2251","species","Haloferax mediterranei","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","2251","2252",""
"523841","2252","species_","Haloferax mediterranei ATCC 33500","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","2251","2252","523841"
"35746","2251","species","Haloferax gibbonsii","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","2251","35746",""
"293431","1644056","genus","Haloquadratum","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","293431","",""
"293091","293431","species","Haloquadratum walsbyi","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","293431","293091",""
"362976","293091","species_","Haloquadratum walsbyi DSM 16790","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","293431","293091","362976"
"768065","293091","species_","Haloquadratum walsbyi C23","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","293431","293091","768065"
"376170","1644056","genus","Haloplanus","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","376170","",""
"1547898","376170","species","Haloplanus sp. CBA1112","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","376170","1547898",""
"1547899","376170","species","Haloplanus sp. CBA1113","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","376170","1547899",""
"660522","376170","species","Haloplanus aerogenes","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","376170","660522",""
"60846","1644056","genus","Halogeometricum","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","60846","",""
"60847","60846","species","Halogeometricum borinquense","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","60846","60847",""
"469382","60847","species_","Halogeometricum borinquense DSM 11551","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","60846","60847","469382"
"1963271","1644055","family","Halorubraceae","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","","",""
"1209988","1963271","genus","Halopenitus","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","1209988","",""
"1048396","1209988","species","Halopenitus persicus","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","1209988","1048396",""
"1450140","1963271","genus","Halohasta","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","1450140","",""
"1073996","1450140","species","Halohasta litchfieldiae","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","1450140","1073996",""
"1644057","1963271","genus","Salinigranum","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","1644057","",""
"755307","1644057","species","Salinigranum rubrum","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","1644057","755307",""
"56688","1963271","genus","Halorubrum","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","56688","",""
"2247","56688","species","Halorubrum lacusprofundi","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","56688","2247",""
"416348","2247","species_","Halorubrum lacusprofundi ATCC 49239","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","56688","2247","416348"
"2497325","56688","species","Halorubrum sp. BOL3-1","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","56688","2497325",""
"29284","56688","species","Halorubrum trapanicum","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","56688","29284",""
"337243","56688","species","Halorubrum ezzemoulense","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","56688","337243",""
"634157","56688","species","Halorubrum sp. PV6","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1963271","","56688","634157",""
