,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
552,0.0,0.0,0.0,0.0,0.0,0.0,10.0,226.2,2472.5,0.0278401
553,0.0,0.0,0.0,0.0,0.0,0.0,13.0,222.30769230769232,2304.3846153846152,0.0296776
555,0.0,0.0,0.0,0.0,0.0,0.0,14.0,222.5,2348.3571428571427,0.0205667
561,0.0,0.0,0.0,0.0,0.0,0.0,2.0,168.5,1185.5,0.0437127
562,0.0,0.0,0.0,0.0,0.0,0.0,3.0,190.66666666666666,1687.0,0.00851405
563,0.0,0.0,0.0,0.0,0.0,0.0,4.0,196.0,1688.5,0.0677662
565,0.0,0.0,0.0,0.0,0.0,0.0,5.0,200.2,1656.8,0.0212777
568,0.0,0.0,0.0,0.0,0.0,0.0,2.0,199.5,2467.5,0.0141649
569,0.0,0.0,0.0,0.0,0.0,0.0,7.0,200.0,1888.4285714285713,0.0247433
570,0.0,0.0,0.0,0.0,0.0,0.0,8.0,202.375,1859.375,0.0186197
571,0.0,0.0,0.0,0.0,0.0,0.0,22.0,215.1818181818182,2170.5454545454545,0.0134336
572,0.0,0.0,0.0,0.0,0.0,0.0,24.0,205.83333333333334,2049.375,0.0593066
573,0.0,0.0,0.0,0.0,0.0,0.0,57.0,216.31578947368422,2052.157894736842,0.0313949
576,0.0,0.0,0.0,0.0,0.0,0.0,2.0,228.5,1756.5,0.111014
578,0.0,0.0,0.0,0.0,0.0,0.0,3.0,233.0,1805.0,0.0237853
581,0.0,0.0,0.0,0.0,0.0,0.0,2.0,239.0,1843.0,0.062406
582,0.0,0.0,0.0,0.0,0.0,0.0,5.0,235.4,1820.2,0.00511302
583,0.0,0.0,0.0,0.0,0.0,0.0,62.0,217.8548387096774,2033.4516129032259,0.019334
586,0.0,0.0,0.0,0.0,0.0,0.0,2.0,212.0,1818.5,0.148016
588,0.0,0.0,0.0,0.0,0.0,0.0,3.0,220.0,2082.6666666666665,0.0410917
